name	acts	words	chars	
OLIVIER	75	2061	11757	
REKRUT	10	108	611	
ANDREAS	11	163	903	
PANKRAZ	14	151	824	
DER STELZBEINIGE	3	53	305	
ANTON	143	2923	16212	
ARZT	132	2700	15175	
SIGISMUND	236	6128	33148	
JULIAN	215	4379	24450	
SIMON	11	679	3795	
KÖNIG	111	4260	23578	
PFÖRTNER	6	227	1276	
JUNGER KÄMMERER	5	44	223	
JUNGER BRUDER	10	321	1728	
HÖFLINGE	0	0	0	
BETTLER	5	30	172	
EINER DER HÖFLINGE	10	537	2983	
EIN ZWEITER HÖFLINGE	3	158	883	
EIN DRITTER HÖFLING	1	82	482	
ZWEI ANDERE HÖFLINGE	1	14	103	
GROSSALMOSENIER	32	982	5585	
CHOR	5	59	404	
WOIWOD	1	44	258	
BÄUERIN	19	449	2449	
KASTELLAN	1	50	347	
BEICHTIGER	12	304	1720	
KÄMMERER	6	120	670	
STALLMEISTER	2	133	670	
GRAF ADAM	30	683	3863	
EINES PAGEN STIMME	1	4	15	
PAGEN	0	0	0	
ALLE	2	19	95	
EINE STIMME	1	2	9	
EINE ANDERE STIMME	1	4	17	
EIN ANDERER JUNGER HÖFLING	1	6	32	
EIN DRITTER JUNGER HÖFLING	1	16	84	
DER EINE DIENER	1	14	77	
REITER	3	34	221	
BUB	8	168	940	
JERONIM	10	257	1390	
DAS VOLK	13	105	576	
EINER VOM VOLK	11	130	685	
EIN ANDERER VOM VOLK	12	166	878	
EIN DRITTER VOM VOLK	2	12	97	
EIN ALTER MIT EINEM STELZBEIN	2	28	148	
EIN FÜNFTER VOM VOLK	1	12	69	
EIN GREIS	1	22	115	
EINE ALTE FRAU	1	3	13	
EIN ALTER	1	18	100	
ARON	2	66	383	
INDRIK	11	165	935	
REITERBUB	4	69	377	
EINER DER HERREN	3	40	205	
EIN ANDERER HERR	1	18	114	
DIE ZIGEUNERIN	15	430	2291	
DIE AUFRECHTE ZIGEUNERIN	4	130	704	
DER MANN AUF DER ERDE	1	73	372	
DER ÄLTESTE BANNERHERR	5	520	3006	
DIE BANNERHERREN	0	0	0	
EINER DER JÜNGEREN BANNERHERREN	1	27	152	
EIN ANDERER DER BANNERHERREN	3	76	425	
DER KINDERKÖNIG	12	287	1528	
DER ERSTE KNABE	3	49	248	
DER ZWEITE KNABE	3	41	232	
