Source,Target,Weight
2-й старик,6-й служитель,1
2-й старик,Голос из толпы 1,1
2-й старик,Голос из толпы 2,1
2-й старик,Голос из толпы 3,1
2-й старик,Голоса гостей,1
2-й старик,Дети,1
2-й старик,Директор,1
2-й старик,Председатель совета,1
2-й старик,Присыпкин (Пьер Скрипкин),1
2-й старик,Распорядитель,1
2-я старуха,3-й служитель,1
2-я старуха,3-й старик,1
2-я старуха,3-я старуха,1
2-я старуха,4-й служитель,1
2-я старуха,5-й служитель,1
2-я старуха,6-й служитель,1
2-я старуха,Голос из толпы 1,1
2-я старуха,Голос из толпы 2,1
2-я старуха,Голос из толпы 3,1
2-я старуха,Голоса гостей,1
2-я старуха,Дети,1
2-я старуха,Директор,1
2-я старуха,Председатель совета,1
2-я старуха,Присыпкин (Пьер Скрипкин),1
2-я старуха,Распорядитель,1
3-й газетчик,3-й репортёр,1
3-й газетчик,4-й газетчик,1
3-й газетчик,4-й репортёр,1
3-й газетчик,5-й газетчик,1
3-й газетчик,5-й репортёр,1
3-й газетчик,6-й газетчик,1
3-й газетчик,6-й репортёр,1
3-й газетчик,7-й газетчик,1
3-й газетчик,7-й репортёр,1
3-й газетчик,8-й газетчик,1
3-й газетчик,8-й репортёр,1
3-й газетчик,9-й репортёр,1
3-й газетчик,Молодой,1
3-й газетчик,Оратор,1
3-й газетчик,Старый,1
3-й пожарный,4-й пожарный,1
3-й пожарный,Начальник,1
3-й репортёр,4-й газетчик,1
3-й репортёр,4-й репортёр,1
3-й репортёр,5-й газетчик,1
3-й репортёр,5-й репортёр,1
3-й репортёр,6-й газетчик,1
3-й репортёр,6-й репортёр,1
3-й репортёр,7-й газетчик,1
3-й репортёр,7-й репортёр,1
3-й репортёр,8-й газетчик,1
3-й репортёр,8-й репортёр,1
3-й репортёр,9-й репортёр,1
3-й репортёр,Молодой,1
3-й репортёр,Оратор,1
3-й репортёр,Старый,1
3-й служитель,3-й старик,1
3-й служитель,3-я старуха,1
3-й служитель,4-й служитель,1
3-й служитель,5-й служитель,1
3-й служитель,6-й служитель,1
3-й служитель,Голос из толпы 1,1
3-й служитель,Голос из толпы 2,1
3-й служитель,Голос из толпы 3,1
